booking_id,hotel_id,room_id,created_at,checkin_date,checkout_date,lead_time_days,length_of_stay,num_guests,channel,cancellation_policy,price_per_night,total_price,refundable,is_cancelled,cancel_date,weather_score,events_nearby_level,competitor_price_index,holiday_flag,created_dow,checkin_dow
B000011,H006,H006-R056,04/12/2024,31/12/2024,10/01/2025,27,10,2,Direct,Flexible,82.64,826.4,1,0,,0.365,0,0.992,0,Wednesday,Tuesday
B000012,H006,H006-R028,29/09/2025,30/11/2025,01/12/2025,62,1,1,Phone,Flexible,99.01,99.01,1,0,,0.374,1,0.928,0,Monday,Sunday
B000013,H013,H013-R020,12/09/2025,02/12/2025,10/12/2025,81,8,3,Direct,Flexible,69.08,552.64,1,0,,0.618,0,0.973,0,Friday,Tuesday
B000014,H002,H002-R035,06/05/2025,12/08/2025,18/08/2025,98,6,1,Corporate,Flexible,134.77,808.62,1,0,,0.647,0,0.958,0,Tuesday,Tuesday
B000015,H009,H009-R003,22/05/2025,16/09/2025,17/09/2025,117,1,3,OTA-Booking,Flexible,85.52,85.52,1,1,09/08/2025,0.722,0,1.018,0,Thursday,Tuesday
B000016,H015,H015-R021,12/01/2024,16/03/2024,18/03/2024,64,2,1,Phone,Flexible,83.89,167.78,1,0,,0.577,0,0.89,0,Friday,Saturday
B000017,H012,H012-R069,10/08/2025,05/11/2025,10/11/2025,87,5,2,Direct,Flexible,77.68,388.4,1,0,,1,1,1.16,0,Sunday,Wednesday
B000018,H013,H013-R039,20/02/2025,11/08/2025,14/08/2025,172,3,2,OTA-Booking,NRF,120.03,360.09,0,0,,0.813,1,0.989,0,Thursday,Monday
B000019,H004,H004-R034,26/12/2024,14/01/2025,18/01/2025,19,4,3,Phone,Flexible,61.67,246.68,1,1,06/01/2025,0.804,0,1.022,0,Thursday,Tuesday
B000020,H008,H008-R003,18/09/2025,29/10/2025,08/11/2025,41,10,1,OTA-Expedia,Flexible,99.75,997.5,1,0,,0.286,0,1.17,0,Thursday,Wednesday
B000021,H006,H006-R050,03/02/2024,27/05/2024,06/06/2024,114,10,2,OTA-Booking,Flexible,99.48,994.8,1,0,,0.539,0,0.948,0,Saturday,Monday
B000022,H012,H012-R079,15/07/2024,10/01/2025,20/01/2025,179,10,1,Corporate,Flexible,95.42,954.2,1,1,18/07/2024,0.426,0,1.013,0,Monday,Friday
B000023,H010,H010-R010,19/03/2025,16/07/2025,20/07/2025,119,4,2,OTA-Expedia,Flexible,70.5,282,1,1,27/03/2025,0.637,1,1.123,0,Wednesday,Wednesday
B000024,H004,H004-R009,01/08/2025,28/08/2025,06/09/2025,27,9,3,Direct,Flexible,105.73,951.57,1,0,,0.421,2,0.911,0,Friday,Thursday
B000025,H015,H015-R020,12/10/2025,12/11/2025,13/11/2025,31,1,1,OTA-Expedia,Flexible,82.16,82.16,1,0,,0.44,0,0.836,0,Sunday,Wednesday
B000026,H011,H011-R046,01/03/2024,06/04/2024,11/04/2024,36,5,4,OTA-Booking,Flexible,99.41,497.05,1,0,,0.456,0,0.894,0,Friday,Saturday
B000027,H001,H001-R013,05/01/2024,28/02/2024,03/03/2024,54,4,1,Direct,NRF,54.12,216.48,0,0,,0.419,1,1.107,0,Friday,Wednesday
B000028,H006,H006-R012,02/01/2024,18/04/2024,25/04/2024,107,7,3,OTA-Booking,NRF,104.73,733.11,0,0,,0.825,1,1.201,0,Tuesday,Thursday
B000029,H015,H015-R047,05/11/2024,07/04/2025,15/04/2025,153,8,1,Corporate,Semi-Flex,109.52,876.16,1,0,,0.021,0,0.948,0,Tuesday,Monday
B000030,H006,H006-R024,12/01/2024,20/03/2024,30/03/2024,68,10,3,Direct,Flexible,80.83,808.3,1,0,,0.431,1,1.09,0,Friday,Wednesday
B000031,H015,H015-R053,15/09/2024,27/10/2024,30/10/2024,42,3,4,Corporate,Flexible,114.59,343.77,1,1,23/09/2024,0.216,0,1.232,0,Sunday,Sunday
B000032,H005,H005-R008,29/06/2025,24/08/2025,28/08/2025,56,4,4,Direct,Flexible,121.41,485.64,1,1,29/07/2025,0.525,0,1.035,0,Sunday,Sunday
B000033,H009,H009-R006,06/01/2024,16/01/2024,24/01/2024,10,8,1,OTA-Booking,Flexible,48.84,390.72,1,0,,0.653,0,1.038,0,Saturday,Tuesday
B000034,H015,H015-R056,07/08/2025,18/12/2025,24/12/2025,133,6,4,OTA-Booking,Flexible,67.32,403.92,1,0,,0.869,0,0.992,0,Thursday,Thursday
B000035,H003,H003-R025,04/09/2025,12/09/2025,15/09/2025,8,3,1,OTA-Booking,NRF,117.5,352.5,0,0,,0.688,0,0.911,0,Thursday,Friday
B000036,H001,H001-R021,17/12/2024,17/05/2025,18/05/2025,151,1,4,Phone,NRF,79.19,79.19,0,0,,0.503,0,0.962,0,Tuesday,Saturday
B000037,H003,H003-R035,26/09/2025,20/10/2025,28/10/2025,24,8,4,OTA-Expedia,Flexible,96.24,769.92,1,0,,0,0,1.118,0,Friday,Monday
B000038,H002,H002-R033,20/06/2024,01/07/2024,04/07/2024,11,3,1,OTA-Booking,Flexible,121.95,365.85,1,0,,0.293,0,1.138,0,Thursday,Monday
B000039,H008,H008-R047,07/10/2024,14/12/2024,19/12/2024,68,5,1,OTA-Booking,Semi-Flex,75.73,378.65,1,0,,0.567,0,1.104,0,Monday,Saturday
B000040,H014,H014-R036,11/06/2024,01/12/2024,07/12/2024,173,6,4,Corporate,Flexible,91.44,548.64,1,0,,0.463,0,0.976,0,Tuesday,Sunday
B000041,H002,H002-R052,15/03/2025,20/04/2025,21/04/2025,36,1,3,OTA-Expedia,Flexible,119.54,119.54,1,0,,0.684,0,1.006,0,Saturday,Sunday
B000042,H005,H005-R037,25/11/2024,27/02/2025,28/02/2025,94,1,4,OTA-Expedia,NRF,75.09,75.09,0,0,,0.752,0,0.959,0,Monday,Thursday
B000043,H005,H005-R037,02/01/2024,10/04/2024,20/04/2024,99,10,2,OTA-Booking,Flexible,74.09,740.9,1,0,,0.681,0,1.025,0,Tuesday,Wednesday
B000044,H012,H012-R068,02/12/2024,06/03/2025,13/03/2025,94,7,3,Phone,NRF,96.77,677.39,0,0,,0.037,1,1.129,0,Monday,Thursday
B000045,H009,H009-R025,13/03/2025,09/06/2025,10/06/2025,88,1,3,OTA-Expedia,Flexible,94.95,94.95,1,1,18/04/2025,0.814,1,1.065,0,Thursday,Monday
B000046,H002,H002-R024,28/04/2025,02/08/2025,06/08/2025,96,4,2,Phone,NRF,117.44,469.76,0,0,,0.388,0,1.08,0,Monday,Saturday
B000047,H011,H011-R053,15/01/2024,24/04/2024,26/04/2024,100,2,4,OTA-Booking,NRF,96.41,192.82,0,0,,0.452,1,1.068,0,Monday,Wednesday
B000048,H006,H006-R071,16/09/2024,04/11/2024,06/11/2024,49,2,4,OTA-Expedia,Flexible,74.47,148.94,1,0,,0.358,0,1.128,0,Monday,Monday
B000049,H013,H013-R021,11/11/2024,09/04/2025,17/04/2025,149,8,2,Corporate,Semi-Flex,99.18,793.44,1,1,08/01/2025,0.538,1,0.936,0,Monday,Wednesday
B000050,H010,H010-R008,21/07/2025,27/12/2025,28/12/2025,159,1,3,OTA-Booking,NRF,59.66,59.66,0,0,,0.478,0,1.056,0,Monday,Saturday
B000051,H015,H015-R032,08/08/2025,21/09/2025,22/09/2025,44,1,1,OTA-Booking,Semi-Flex,137.98,137.98,1,1,14/08/2025,0.371,0,1.066,0,Friday,Sunday
B000052,H013,H013-R044,01/01/2024,04/01/2024,05/01/2024,3,1,4,OTA-Booking,NRF,85.71,85.71,0,0,,0,0,0.881,0,Monday,Thursday
B000053,H015,H015-R060,15/11/2025,06/12/2025,16/12/2025,21,10,4,OTA-Booking,NRF,90.2,902,0,0,,0.721,0,0.994,0,Saturday,Saturday
B000054,H012,H012-R065,25/04/2025,23/05/2025,28/05/2025,28,5,4,OTA-Booking,NRF,103.02,515.1,0,1,26/04/2025,0.611,1,0.971,0,Friday,Friday
B000055,H013,H013-R063,18/03/2025,25/03/2025,26/03/2025,7,1,1,OTA-Booking,NRF,83.54,83.54,0,0,,0.329,0,1.074,1,Tuesday,Tuesday
B000056,H011,H011-R015,29/11/2024,07/03/2025,12/03/2025,98,5,4,OTA-Booking,Flexible,71.11,355.55,1,0,,0.714,0,1.029,0,Friday,Friday
B000057,H005,H005-R033,03/12/2024,08/04/2025,14/04/2025,126,6,2,OTA-Booking,Flexible,95.48,572.88,1,0,,0.424,0,1.031,0,Tuesday,Tuesday
B000058,H004,H004-R014,03/01/2024,04/04/2024,06/04/2024,92,2,4,Corporate,Flexible,79.39,158.78,1,0,,0.517,0,0.932,0,Wednesday,Thursday
B000059,H012,H012-R052,04/01/2024,21/04/2024,26/04/2024,108,5,4,Direct,NRF,112.6,563,0,0,,0.391,0,0.963,0,Thursday,Sunday
B000060,H011,H011-R034,07/01/2024,10/03/2024,16/03/2024,63,6,3,OTA-Expedia,Flexible,76.32,457.92,1,0,,0.574,0,1.015,0,Sunday,Sunday
B000061,H009,H009-R022,09/03/2025,26/05/2025,28/05/2025,78,2,3,OTA-Booking,NRF,69.05,138.1,0,0,,0.737,1,1.018,0,Sunday,Monday
B000062,H002,H002-R019,01/05/2025,18/06/2025,24/06/2025,48,6,4,OTA-Booking,Flexible,137.73,826.38,1,0,,0.817,0,1.053,0,Thursday,Wednesday
B000063,H004,H004-R009,18/06/2024,17/08/2024,23/08/2024,60,6,2,OTA-Booking,NRF,101.78,610.68,0,0,,0.533,1,0.853,0,Tuesday,Saturday
B000064,H012,H012-R059,18/04/2025,31/05/2025,02/06/2025,43,2,3,OTA-Expedia,NRF,114.31,228.62,0,0,,0.934,0,0.957,0,Friday,Saturday
B000065,H015,H015-R053,03/01/2024,28/03/2024,05/04/2024,85,8,3,Direct,NRF,81.3,650.4,0,0,,0.608,0,0.993,0,Wednesday,Thursday
B000066,H009,H009-R029,09/09/2024,09/10/2024,17/10/2024,30,8,2,Direct,Flexible,82.64,661.12,1,0,,0.272,1,0.922,0,Monday,Wednesday
B000067,H004,H004-R042,09/07/2025,06/09/2025,10/09/2025,59,4,1,OTA-Booking,Flexible,105.66,422.64,1,0,,0.378,0,1.125,0,Wednesday,Saturday
B000068,H015,H015-R017,26/06/2025,04/07/2025,14/07/2025,8,10,3,OTA-Booking,Flexible,113.76,1137.6,1,1,28/06/2025,0.83,0,0.957,0,Thursday,Friday
B000069,H013,H013-R046,26/01/2024,26/06/2024,05/07/2024,152,9,4,OTA-Booking,Flexible,127.74,1149.66,1,1,18/05/2024,0.568,0,0.98,0,Friday,Wednesday
B000070,H002,H002-R063,28/11/2024,28/01/2025,06/02/2025,61,9,4,Direct,Flexible,79.98,719.82,1,0,,0.857,0,1.024,0,Thursday,Tuesday
B000071,H007,H007-R010,20/07/2024,10/08/2024,16/08/2024,21,6,4,OTA-Booking,Semi-Flex,84.25,505.5,1,0,,0.422,0,0.959,0,Saturday,Saturday
B000072,H001,H001-R005,14/05/2024,05/09/2024,12/09/2024,114,7,2,OTA-Expedia,Semi-Flex,76.39,534.73,1,1,30/05/2024,0.418,1,1.059,0,Tuesday,Thursday
B000073,H002,H002-R021,11/03/2025,12/03/2025,18/03/2025,1,6,2,Direct,Flexible,85.3,511.8,1,0,,0.159,0,1.015,0,Tuesday,Wednesday
B000074,H013,H013-R037,23/08/2025,18/12/2025,26/12/2025,117,8,4,Phone,NRF,89.52,716.16,0,0,,0.236,0,0.976,0,Saturday,Thursday
B000075,H004,H004-R028,22/03/2025,09/06/2025,18/06/2025,79,9,3,OTA-Booking,NRF,107.41,966.69,0,0,,0.356,0,1.129,0,Saturday,Monday
B000076,H003,H003-R001,15/08/2025,08/12/2025,16/12/2025,115,8,2,OTA-Booking,NRF,64.67,517.36,0,0,,0.346,1,0.966,0,Friday,Monday
B000077,H015,H015-R056,17/01/2024,31/03/2024,03/04/2024,74,3,1,Direct,Semi-Flex,71.7,215.1,1,1,21/01/2024,0.323,1,0.95,0,Wednesday,Sunday
B000078,H014,H014-R008,20/09/2024,28/09/2024,08/10/2024,8,10,2,OTA-Booking,NRF,137.19,1371.9,0,0,,0.539,1,0.886,0,Friday,Saturday
B000079,H009,H009-R004,24/04/2024,05/10/2024,06/10/2024,164,1,1,Phone,Semi-Flex,83.8,83.8,1,1,03/08/2024,0.504,0,1.003,0,Wednesday,Saturday
B000080,H015,H015-R043,03/03/2025,07/07/2025,12/07/2025,126,5,4,OTA-Expedia,NRF,111.78,558.9,0,0,,0.922,1,0.807,0,Monday,Monday
B000081,H007,H007-R008,22/02/2025,04/05/2025,09/05/2025,71,5,1,OTA-Booking,NRF,77.26,386.3,0,0,,0.566,0,0.911,0,Saturday,Sunday
B000082,H007,H007-R017,01/08/2024,05/11/2024,14/11/2024,96,9,4,Corporate,NRF,50.17,451.53,0,0,,0.573,1,0.989,0,Thursday,Tuesday
B000083,H001,H001-R024,25/05/2024,04/08/2024,05/08/2024,71,1,2,Corporate,NRF,84.2,84.2,0,0,,0.934,0,0.986,0,Saturday,Sunday
B000084,H013,H013-R069,16/12/2024,08/02/2025,09/02/2025,54,1,2,OTA-Expedia,NRF,78.65,78.65,0,0,,0.112,0,0.974,0,Monday,Saturday
B000085,H012,H012-R079,15/02/2025,07/04/2025,17/04/2025,51,10,2,Corporate,Semi-Flex,104.45,1044.5,1,0,,0.546,0,0.871,0,Saturday,Monday
B000086,H009,H009-R001,15/02/2024,06/06/2024,12/06/2024,112,6,3,OTA-Expedia,Flexible,80.93,485.58,1,0,,0.67,1,1.067,0,Thursday,Thursday
B000087,H004,H004-R040,16/03/2024,06/08/2024,09/08/2024,143,3,3,OTA-Booking,Semi-Flex,100.77,302.31,1,0,,0.85,0,1.05,0,Saturday,Tuesday
B000088,H010,H010-R013,17/03/2025,04/05/2025,14/05/2025,48,10,4,OTA-Expedia,NRF,70.52,705.2,0,0,,0.358,1,1.12,0,Monday,Sunday
B000089,H006,H006-R077,08/05/2024,14/05/2024,16/05/2024,6,2,4,Direct,Flexible,94.55,189.1,1,0,,0,0,0.937,0,Wednesday,Tuesday
B000090,H009,H009-R002,19/02/2024,11/07/2024,17/07/2024,143,6,2,Corporate,Flexible,77.51,465.06,1,1,26/02/2024,0.81,0,0.995,0,Monday,Thursday
B000091,H001,H001-R006,16/09/2025,13/12/2025,17/12/2025,88,4,2,Corporate,NRF,46.08,184.32,0,0,,0.243,0,1.056,0,Tuesday,Saturday
B000092,H003,H003-R022,03/08/2024,30/10/2024,02/11/2024,88,3,1,Direct,NRF,93.86,281.58,0,0,,0.246,0,0.972,0,Saturday,Wednesday
B000093,H014,H014-R064,27/09/2024,11/03/2025,14/03/2025,165,3,2,Direct,NRF,73.29,219.87,0,0,,0.603,0,1.023,0,Friday,Tuesday
B000094,H015,H015-R011,05/01/2025,13/05/2025,22/05/2025,128,9,1,OTA-Booking,Flexible,86.13,775.17,1,1,19/04/2025,0.506,0,0.985,0,Sunday,Tuesday
B000095,H001,H001-R017,03/01/2024,23/01/2024,25/01/2024,20,2,3,OTA-Expedia,Flexible,47.6,95.2,1,1,08/01/2024,0.246,0,1.095,0,Wednesday,Tuesday
B000096,H010,H010-R005,25/05/2025,14/09/2025,20/09/2025,112,6,2,OTA-Booking,NRF,91.18,547.08,0,0,,0.452,1,0.929,0,Sunday,Sunday
B000097,H005,H005-R037,10/10/2025,24/10/2025,03/11/2025,14,10,2,Direct,Flexible,79.74,797.4,1,0,,0.539,0,1.051,0,Friday,Friday
B000098,H004,H004-R004,19/06/2025,15/08/2025,22/08/2025,57,7,4,OTA-Booking,NRF,88.19,617.33,0,0,,0.617,0,0.857,1,Thursday,Friday
B000099,H011,H011-R047,16/07/2025,08/09/2025,16/09/2025,54,8,3,OTA-Booking,NRF,120.93,967.44,0,0,,0.452,0,1.108,0,Wednesday,Monday
B000100,H013,H013-R037,19/07/2024,19/08/2024,20/08/2024,31,1,4,Corporate,NRF,140.3,140.3,0,0,,0.584,1,0.996,0,Friday,Monday
B000101,H010,H010-R011,05/02/2025,21/02/2025,02/03/2025,16,9,4,Corporate,Semi-Flex,53.49,481.41,1,0,,0.301,0,0.988,0,Wednesday,Friday
B000102,H002,H002-R062,27/09/2024,25/01/2025,29/01/2025,120,4,4,OTA-Booking,Flexible,72.22,288.88,1,0,,0.662,1,1.08,0,Friday,Saturday
B000103,H003,H003-R049,10/02/2024,15/05/2024,21/05/2024,95,6,2,Corporate,Semi-Flex,102.32,613.92,1,0,,0.424,1,1.088,0,Saturday,Wednesday
B000104,H015,H015-R056,06/05/2025,08/05/2025,18/05/2025,2,10,1,Direct,NRF,100.27,1002.7,0,0,,0.324,1,0.96,0,Tuesday,Thursday
B000105,H008,H008-R019,03/10/2024,07/12/2024,09/12/2024,65,2,4,Phone,Flexible,73.37,146.74,1,0,,0.027,0,0.907,0,Thursday,Saturday
B000106,H010,H010-R014,03/03/2024,10/05/2024,17/05/2024,68,7,2,Corporate,Semi-Flex,70.71,494.97,1,1,24/04/2024,0.529,0,0.786,0,Sunday,Friday
B000107,H009,H009-R028,17/05/2025,20/10/2025,27/10/2025,156,7,4,Direct,Semi-Flex,63.42,443.94,1,0,,0.817,0,1.114,0,Saturday,Monday
B000108,H005,H005-R047,29/07/2025,21/12/2025,25/12/2025,145,4,3,Corporate,NRF,67.11,268.44,0,0,,1,0,1.029,0,Tuesday,Sunday
B000109,H015,H015-R066,23/06/2025,09/10/2025,10/10/2025,108,1,3,Direct,NRF,98.7,98.7,0,0,,0.456,0,1.073,0,Monday,Thursday
B000110,H002,H002-R004,06/07/2024,30/08/2024,01/09/2024,55,2,3,OTA-Expedia,NRF,142.13,284.26,0,0,,0.312,1,0.921,0,Saturday,Friday
B000111,H005,H005-R010,30/07/2024,04/09/2024,09/09/2024,36,5,4,OTA-Expedia,Flexible,103.34,516.7,1,0,,0.441,0,0.953,0,Tuesday,Wednesday
B000112,H004,H004-R034,22/01/2024,06/03/2024,16/03/2024,44,10,3,OTA-Expedia,Semi-Flex,58.29,582.9,1,0,,0.406,0,0.999,0,Monday,Wednesday
B000113,H009,H009-R034,17/07/2024,27/12/2024,04/01/2025,163,8,1,OTA-Booking,Semi-Flex,64.56,516.48,1,1,22/08/2024,0.231,0,0.906,0,Wednesday,Friday
B000114,H014,H014-R062,21/01/2025,07/02/2025,12/02/2025,17,5,4,Direct,Flexible,82.6,413,1,0,,0.368,0,0.955,0,Tuesday,Friday
B000115,H014,H014-R039,11/01/2024,18/03/2024,27/03/2024,67,9,3,OTA-Booking,NRF,74.92,674.28,0,0,,0.528,0,0.877,0,Thursday,Monday
B000116,H013,H013-R067,13/05/2025,19/06/2025,20/06/2025,37,1,3,Direct,Semi-Flex,108.35,108.35,1,0,,0.345,0,0.982,0,Tuesday,Thursday
B000117,H003,H003-R004,29/11/2024,26/03/2025,28/03/2025,117,2,2,OTA-Expedia,Flexible,69.27,138.54,1,0,,0.682,1,1.079,0,Friday,Wednesday
B000118,H007,H007-R007,10/10/2024,23/11/2024,01/12/2024,44,8,2,OTA-Booking,NRF,48.67,389.36,0,0,,0.474,0,0.931,0,Thursday,Saturday
B000119,H015,H015-R028,04/05/2024,24/07/2024,29/07/2024,81,5,3,OTA-Expedia,NRF,118.95,594.75,0,0,,0.601,1,1.006,0,Saturday,Wednesday
B000120,H001,H001-R015,28/12/2024,26/01/2025,28/01/2025,29,2,2,Phone,Flexible,49.43,98.86,1,0,,0.638,0,0.993,0,Saturday,Sunday
B000121,H003,H003-R031,10/01/2024,02/01/2024,06/01/2024,-8,4,1,OTA-Booking,NRF,72.76,291.04,0,0,,0.517,1,0.972,0,Wednesday,Tuesday
B000122,H006,H006-R067,29/04/2024,27/09/2024,02/10/2024,151,5,1,Phone,Flexible,124.45,622.25,1,0,,0.724,0,0.943,0,Monday,Friday
B000123,H014,H014-R058,20/06/2025,02/11/2025,03/11/2025,135,1,3,Direct,Flexible,76.55,76.55,1,1,02/09/2025,0.25,0,1.01,0,Friday,Sunday
B000124,H011,H011-R004,05/11/2025,25/12/2025,28/12/2025,50,3,4,Direct,NRF,68.73,206.19,0,0,,0.393,0,1.003,1,Wednesday,Thursday
B000125,H013,H013-R052,05/01/2024,21/04/2024,01/05/2024,107,10,2,OTA-Booking,Semi-Flex,104.22,1042.2,1,0,,0.167,0,0.967,0,Friday,Sunday
B000126,H010,H010-R003,10/10/2024,18/01/2025,22/01/2025,100,4,1,OTA-Expedia,Semi-Flex,59.8,239.2,1,0,,0.169,1,1.051,0,Thursday,Saturday
B000127,H004,H004-R033,02/02/2025,09/05/2025,14/05/2025,96,5,4,Phone,Semi-Flex,79.34,396.7,1,0,,0.809,0,1.118,0,Sunday,Friday
B000128,H013,H013-R042,16/09/2025,13/10/2025,19/10/2025,27,6,3,Direct,Flexible,112.7,676.2,1,0,,0.438,0,1.066,0,Tuesday,Monday
B000129,H003,H003-R009,19/10/2024,06/01/2025,11/01/2025,79,5,2,OTA-Expedia,NRF,65.81,329.05,0,1,28/12/2024,0.375,0,1.054,1,Saturday,Monday
B000130,H015,H015-R055,22/07/2024,26/08/2024,04/09/2024,35,9,1,OTA-Booking,Flexible,134.46,1210.14,1,0,,0.396,0,0.916,0,Monday,Monday
B000131,H012,H012-R025,23/05/2025,12/07/2025,14/07/2025,50,2,2,Phone,NRF,162.89,325.78,0,0,,0.723,0,1.033,0,Friday,Saturday
B000132,H013,H013-R019,16/01/2025,06/05/2025,12/05/2025,110,6,3,OTA-Expedia,Flexible,104.21,625.26,1,0,,0.688,0,1.084,0,Thursday,Tuesday
B000133,H001,H001-R019,26/10/2024,31/01/2025,01/02/2025,97,1,2,Phone,NRF,53.31,53.31,0,0,,0.611,0,0.955,0,Saturday,Friday
B000134,H014,H014-R036,23/06/2025,29/09/2025,08/10/2025,98,9,3,Corporate,NRF,129.06,1161.54,0,0,,0.278,1,0.939,0,Monday,Monday
B000135,H014,H014-R073,10/11/2025,13/11/2025,23/11/2025,3,10,3,OTA-Expedia,NRF,86.09,860.9,0,0,,0.175,0,1.196,0,Monday,Thursday
B000136,H001,H001-R007,20/05/2025,11/07/2025,18/07/2025,52,7,2,OTA-Expedia,Flexible,82.34,576.38,1,1,08/06/2025,0.891,1,0.988,0,Tuesday,Friday
B000137,H005,H005-R007,07/01/2024,06/01/2024,07/01/2024,-1,1,4,Phone,Semi-Flex,61.78,61.78,1,0,,0.227,0,0.984,1,Sunday,Saturday
B000138,H005,H005-R008,31/07/2025,03/09/2025,06/09/2025,34,3,4,OTA-Booking,Flexible,100.29,300.87,1,1,20/08/2025,0.333,1,1.225,0,Thursday,Wednesday
B000139,H011,H011-R050,12/06/2025,30/07/2025,02/08/2025,48,3,2,Corporate,Flexible,113.58,340.74,1,0,,0.291,0,0.888,0,Thursday,Wednesday
B000140,H001,H001-R008,21/11/2024,04/01/2025,10/01/2025,44,6,3,Direct,Semi-Flex,56.66,339.96,1,0,,0.695,0,0.948,0,Thursday,Saturday
B000141,H003,H003-R021,20/11/2024,15/05/2025,17/05/2025,176,2,2,OTA-Booking,Semi-Flex,94.72,189.44,1,1,15/01/2025,0.57,0,1.049,0,Wednesday,Thursday
B000142,H001,H001-R022,28/02/2025,28/07/2025,04/08/2025,150,7,4,Direct,Flexible,78.26,547.82,1,0,,0.897,1,1.067,0,Friday,Monday
B000143,H012,H012-R081,01/04/2024,13/07/2024,15/07/2024,103,2,4,OTA-Expedia,Flexible,129.96,259.92,1,1,10/04/2024,0.402,0,1.028,0,Monday,Saturday
B000144,H009,H009-R002,12/01/2024,04/03/2024,09/03/2024,52,5,1,Direct,Semi-Flex,58.98,294.9,1,0,,0.43,0,1.142,0,Friday,Monday
B000145,H004,H004-R023,05/04/2024,14/07/2024,23/07/2024,100,9,3,OTA-Booking,Flexible,94.63,851.67,1,0,,0.858,0,0.987,0,Friday,Sunday
B000146,H001,H001-R020,21/05/2025,20/08/2025,23/08/2025,91,3,3,OTA-Booking,Semi-Flex,79.42,238.26,1,0,,0.2,0,0.814,0,Wednesday,Wednesday
B000147,H011,H011-R019,18/07/2025,02/12/2025,04/12/2025,137,2,1,OTA-Expedia,Flexible,62.82,125.64,1,0,,0.487,1,1.082,0,Friday,Tuesday
B000148,H011,H011-R023,17/02/2024,08/05/2024,10/05/2024,81,2,4,Direct,Flexible,98.94,197.88,1,1,26/03/2024,0,0,1.118,0,Saturday,Wednesday
B000149,H011,H011-R042,02/03/2025,23/04/2025,03/05/2025,52,10,2,Corporate,Flexible,90.71,907.1,1,1,29/03/2025,0.941,0,0.931,0,Sunday,Wednesday
B000150,H011,H011-R035,06/01/2024,06/02/2024,16/02/2024,31,10,2,Phone,Flexible,67.9,679,1,0,,0.13,0,0.993,0,Saturday,Tuesday
B000151,H005,H005-R027,21/05/2024,08/07/2024,16/07/2024,48,8,1,OTA-Booking,Flexible,96.96,775.68,1,1,21/05/2024,0.44,0,1.068,0,Tuesday,Monday
B000152,H006,H006-R063,12/01/2024,03/06/2024,09/06/2024,143,6,3,OTA-Booking,NRF,145.97,875.82,0,0,,0.802,1,1.123,0,Friday,Monday
B000153,H003,H003-R013,20/01/2024,05/05/2024,10/05/2024,106,5,2,Direct,Flexible,106.04,530.2,1,0,,0.238,0,1.119,0,Saturday,Sunday
B000154,H007,H007-R017,01/01/2025,15/01/2025,17/01/2025,14,2,1,OTA-Expedia,Semi-Flex,48.82,97.64,1,0,,0.274,0,0.943,0,Wednesday,Wednesday
B000155,H010,H010-R006,01/06/2025,19/09/2025,29/09/2025,110,10,2,OTA-Booking,Flexible,89.62,896.2,1,1,21/07/2025,0,0,0.943,0,Sunday,Friday
B000156,H014,H014-R063,05/03/2025,27/03/2025,01/04/2025,22,5,1,Direct,NRF,85.89,429.45,0,0,,0.532,1,1.103,0,Wednesday,Thursday
